tip,subgenus,section,subsection,clade,NAm,code,sp,drop
Quercus_robur_ssp._imeretina_|_SIMEONE_|_marco_.s.n._|_Georgia_|_NA_|_OAK-MOR-1143,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-1143,Quercus_robur_ssp._imeretina,TRUE
Quercus_hartwissiana_|_SIMEONE_|_2002-077_|_NA_|_NA_|_OAK-MOR-987,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-987,Quercus_hartwissiana,FALSE
Quercus_robur_|_SIMEONE_|_WILD_-UK-_|_NA_|_NA_|_OAK-MOR-996,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-996,Quercus_robur,FALSE
Quercus_pyrenaica_|_HIPP_|_IL-SH-119_|_USA_|_Illinois_|_OAK-MOR-533,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-533,Quercus_pyrenaica,FALSE
Quercus_petraea_|_SIMEONE_|_1982-0337_|_NA_|_NA_|_OAK-MOR-995,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-995,Quercus_petraea,FALSE
Quercus_lusitanica_|_SIMEONE_|_2000-044_|_NA_|_NA_|_OAK-MOR-988,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-988,Quercus_lusitanica,TRUE
Quercus_dalechampii_|_HIPP_|_IL-SH-45_|_USA_|_Illinois_|_OAK-MOR-346,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-346,Quercus_dalechampii,TRUE
Quercus_faginea_|_AVISHAI_|_s.n_|_Israel_|_NA_|_OAK-MOR-658,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-658,Quercus_faginea,TRUE
Quercus_pubescens_|_SIMEONE_|_TUS13-005_|_Italy_|_NA_|_OAK-MOR-590,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-590,Quercus_pubescens,TRUE
Quercus_macranthera_|_SIMEONE_|_marco_.s.n._|_Georgia_|_NA_|_OAK-MOR-1142,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-1142,Quercus_macranthera,TRUE
Quercus_frainetto_|_SIMEONE_|_2006-028_|_NA_|_NA_|_OAK-MOR-1041,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-1041,Quercus_frainetto,TRUE
Quercus_vulcanica_|_SIMEONE_|_2002-078_|_NA_|_NA_|_OAK-MOR-990,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-990,Quercus_vulcanica,TRUE
Quercus_kotschyana_|_SIMEONE_|_2-4_|_NA_|_NA_|_OAK-MOR-1057,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-1057,Quercus_kotschyana,TRUE
Quercus_cedrorum_|_SIMEONE_|_5-5_|_NA_|_NA_|_OAK-MOR-1059,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-1059,Quercus_cedrorum,TRUE
Quercus_boissieri_|_AVISHAI_|_s.n_|_Israel_|_NA_|_OAK-MOR-649,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-649,Quercus_boissieri,TRUE
Quercus_infectoria_|_SIMEONE_|_1976-099_|_NA_|_NA_|_OAK-MOR-992,subg. Quercus,Quercus,,Roburoids [in part],FALSE,OAK-MOR-992,Quercus_infectoria,TRUE
Quercus_lobata_|_HIPP_|_CA-DAV-MH63_|_USA_|_California_|_OAK-MOR-697,subg. Quercus,Quercus,Dumosae,,TRUE,OAK-MOR-697,Quercus_lobata,FALSE
Quercus_garryana_|_MANOS_|_PM-215_|_US_|_OR_|_PM_215,subg. Quercus,Quercus,Dumosae,,TRUE,PM215,Quercus_garryana,FALSE
Quercus_durata_|_MANOS_|_PM-1_|_USA_|_California_|_PM1,subg. Quercus,Quercus,Dumosae,,TRUE,PM1,Quercus_durata,FALSE
Quercus_berberidifolia_|_MANOS_|_PM-217_|_US_|_CA_|_PM_217,subg. Quercus,Quercus,Dumosae,,TRUE,PM217,Quercus_berberidifolia,FALSE
Quercus_dumosa_|_MANOS_|_PM-141_|_US_|_CA_|_PM141,subg. Quercus,Quercus,Dumosae,,TRUE,PM141,Quercus_dumosa,FALSE
Quercus_pacifica_|_BACKS_|_QUPA108_|_USA_|_California_|_OAK-MOR-470,subg. Quercus,Quercus,Dumosae,,TRUE,OAK-MOR-470,Quercus_pacifica,FALSE
Quercus_cornelius-mulleri_|_HIPP_|_235_|_U.S.A._|_CA_|_OAK-MOR-718,subg. Quercus,Quercus,Dumosae,,TRUE,OAK-MOR-718,Quercus_cornelius-mulleri,FALSE
Quercus_john-tuckeri_|_MANOS_|_PM-218_|_US_|_CA_|_PM_218,subg. Quercus,Quercus,Dumosae,,TRUE,PM218,Quercus_john-tuckeri,FALSE
Quercus_douglasii_|_HIPP_|_CA-DAV-MH42_|_USA_|_California_|_OAK-MOR-696,subg. Quercus,Quercus,Dumosae,,TRUE,OAK-MOR-696,Quercus_douglasii,FALSE
Quercus_montana_|_HIPP_|_IL-SH-116_|_USA_|_Illinois_|_OAK-MOR-575,subg. Quercus,Quercus,Albae,,TRUE,OAK-MOR-575,Quercus_montana,FALSE
Quercus_michauxii_|_HIPP_|_IL-MOR-MH001__|_USA_|_Illinois_|_OAK-MOR-353,subg. Quercus,Quercus,Albae,,TRUE,OAK-MOR-353,Quercus_michauxii,FALSE
Quercus_alba_|_HIPP_|_IL-MOR-MH086_|_USA_|_Illinois_|_OAK-MOR-76,subg. Quercus,Quercus,Albae,,TRUE,OAK-MOR-76,Quercus_alba,FALSE
Quercus_muehlenbergii_|_HIPP_|_CA-DAV-MH49_|_USA_|_California_|_OAK-MOR-639,subg. Quercus,Quercus,Prinoideae,,TRUE,OAK-MOR-639,Quercus_muehlenbergii,FALSE
Quercus_prinoides_|_HIPP_|_IL-SH-96_|_USA_|_Illinois_|_OAK-MOR-532,subg. Quercus,Quercus,Prinoideae,,TRUE,OAK-MOR-532,Quercus_prinoides,FALSE
Quercus_lyrata_|_HIPP_|_IL-MOR-MH078__|_USA_|_Illinois_|_OAK-MOR-611,subg. Quercus,Quercus,Prinoideae,,TRUE,OAK-MOR-611,Quercus_lyrata,FALSE
Quercus_bicolor_|_MANOS_|_PM-96_|_USA_|_New_York_|_PM96,subg. Quercus,Quercus,Prinoideae,,TRUE,PM96,Quercus_bicolor,FALSE
Quercus_macrocarpa_|_HIPP_|_IL-MOR-MH003_-A/B-_|_USA_|_Illinois_|_OAK-MOR-357,subg. Quercus,Quercus,Prinoideae,,TRUE,OAK-MOR-357,Quercus_macrocarpa,FALSE
Quercus_fusiformis_|_CAVENDER-BARES_|_MXGT4_|_Mexico_|_NA_|_MXGT4,subg. Quercus,Virentes,,Virentes,TRUE,MXGT4,Quercus_fusiformis,FALSE
Quercus_brandegeei_|_CAVENDER-BARES_|_BJSL25_|_Mexico_|_Baja_California_|_BJSL25,subg. Quercus,Virentes,,Virentes,FALSE,BJSL25,Quercus_brandegeei,FALSE
Quercus_sagraeana_|_CAVENDER-BARES_|_CUVN10_|_Cuba_|_NA_|_CUVN10,subg. Quercus,Virentes,,Virentes,FALSE,CUVN10,Quercus_sagraeana,FALSE
Quercus_oleoides_|_CAVENDER-BARES_|_CRL0001_|_Costa_Rica._|_NA_|_CRL0001,subg. Quercus,Virentes,,Virentes,FALSE,CRL0001,Quercus_oleoides,FALSE
Quercus_virginiana_|_CAVENDER-BARES_|_FLBA140_|_USA_|_Florida_|_FLBA140,subg. Quercus,Virentes,,Virentes,TRUE,FLBA140,Quercus_virginiana,FALSE
Quercus_minima_|_CAVENDER-BARES_|_FLMO62_|_USA_|_Florida_|_FLMO62,subg. Quercus,Virentes,,Virentes,TRUE,FLMO62,Quercus_minima,FALSE
Quercus_geminata_|_CAVENDER-BARES_|_FLAB109_|_USA_|_Florida_|_FLAB109,subg. Quercus,Virentes,,Virentes,TRUE,FLAB109,Quercus_geminata,FALSE
Quercus_sinuata_|_HIPP_|_CA-DAV-MH17_|_USA_|_California_|_OAK-MOR-418,subg. Quercus,Quercus,Stellatae,,TRUE,OAK-MOR-418,Quercus_sinuata,FALSE
Quercus_oglethorpensis_|_HIPP_|_IL-MOR-MH104__|_USA_|_Illinois_|_OAK-MOR-548,subg. Quercus,Quercus,Stellatae,,TRUE,OAK-MOR-548,Quercus_oglethorpensis,FALSE
Quercus_havardii_|_HIPP_|_IL-SH-99_|_USA_|_Illinois_|_OAK-MOR-430,subg. Quercus,Quercus,Stellatae,,TRUE,OAK-MOR-430,Quercus_havardii,FALSE
Quercus_chapmanii_|_HIPP_|_IL-SH-137_|_USA_|_Illinois_|_OAK-MOR-444,subg. Quercus,Quercus,Stellatae,,TRUE,OAK-MOR-444,Quercus_chapmanii,FALSE
Quercus_margarettae_|_HIPP_|_CA-DAV-MH50_|_USA_|_California_|_OAK-MOR-420,subg. Quercus,Quercus,Stellatae,,TRUE,OAK-MOR-420,Quercus_margarettae,FALSE
Quercus_austrina_|_HIPP_|_IL-SH-48_|_USA_|_Illinois_|_OAK-MOR-511,subg. Quercus,Quercus,Stellatae,,TRUE,OAK-MOR-511,Quercus_austrina,FALSE
Quercus_boyntonii_|_HIPP_|_IL-SH-179_|_USA_|_Illinois_|_OAK-MOR-544,subg. Quercus,Quercus,Stellatae,,TRUE,OAK-MOR-544,Quercus_boyntonii,FALSE
Quercus_similis_|_MANOS_|_PM-107_|_USA_|_LA_|_PM107,subg. Quercus,Quercus,Stellatae,,TRUE,PM107,Quercus_similis,FALSE
Quercus_stellata_|_MANOS_|_PM-11_|_USA_|_NC_|_PM11,subg. Quercus,Quercus,Stellatae,,TRUE,PM11,Quercus_stellata,FALSE
Quercus_laceyi_|_HIPP_|_IL-SH-177_|_USA_|_Illinois_|_OAK-MOR-189,subg. Quercus,Quercus,Polymorphae,,TRUE,OAK-MOR-189,Quercus_laceyi,FALSE
Quercus_mohriana_|_HIPP_|_IL-SH-36_|_USA_|_Illinois_|_OAK-MOR-222,subg. Quercus,Quercus,Polymorphae,,TRUE,OAK-MOR-222,Quercus_mohriana,FALSE
Quercus_polymorpha_|_HIPP_|_IL-SH-084_|_USA_|_Illinois_|_OAK-MOR-173,subg. Quercus,Quercus,Polymorphae,,TRUE,OAK-MOR-173,Quercus_polymorpha,FALSE
Quercus_hinckleyi_|_BACKS_|_QUHI006_|_USA_|_Texas_|_OAKS-MOR-472,subg. Quercus,Quercus,Polymorphae,,TRUE,OAKS-MOR-472,Quercus_hinckleyi,FALSE
Quercus_pungens_|_HIPP_|_IL-SH-98_|_USA_|_Illinois_|_OAK-MOR-428,subg. Quercus,Quercus,Polymorphae,,TRUE,OAK-MOR-428,Quercus_pungens,FALSE
Quercus_vaseyana_|_HIPP_|_IL-SH-075_|_USA_|_Illinois_|_OAK-MOR-528,subg. Quercus,Quercus,Polymorphae,,TRUE,OAK-MOR-528,Quercus_vaseyana,FALSE
Quercus_germana_|_HIPP_|_IL-SH-149_|_USA_|_Illinois_|_OAK-MOR-305,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-305,Quercus_germana,FALSE
Quercus_copeyensis_|_CAVENDER-BARES_|_CR-JCB-3_|_Costa_Rica_|_NA_|_CR-JCB-3,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,CR-JCB-3,Quercus_copeyensis,FALSE
Quercus_lancifolia_|_CAVENDER-BARES_|_JCB-HN-UY-34_|_Honduras_|_NA_|_OAK-UMN-378,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-378,Quercus_lancifolia,FALSE
Quercus_insignis_|_CAVENDER-BARES_|_JCB-MX-??-RV_|_Mexico_|_NA_|_OAK-UMN-397,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-397,Quercus_insignis,FALSE
Quercus_corrugata_|_GONZALEZ_|_AGR1_|_Mexico_|_Chiapas_|_AGR1,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,AGR1,Quercus_corrugata,FALSE
Quercus_glaucescens_|_CAVENDER-BARES_|_JCB-MX-OA-PO-58_|_Mexico_|_Oaxaca_|_OAK-UMN-309,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-309,Quercus_glaucescens,FALSE
Quercus_martinezii_|_GONZALEZ_|_AGR25_|_Mexico_|_Jalisco_|_AGR25,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,AGR25,Quercus_martinezii,FALSE
Quercus_greggii_|_HIPP_|_CA-DAV-MH32_|_USA_|_California_|_OAK-MOR-403,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-403,Quercus_greggii,FALSE
Quercus_glabrescens_|_HIPP_|_IL-SH-014_|_USA_|_Illinois_|_OAK-MOR-462,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-462,Quercus_glabrescens,FALSE
Quercus_rugosa_|_SOCORRO_GONZALEZ-HIPP_|_8388_|_Mexico_|_Durango__|_OAK-MOR-1137,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-1137,Quercus_rugosa,FALSE
Quercus_deserticola_|_CAVENDER-BARES_|_JCB-MX-JA-NC-160_|_Mexico_|_Jalisco_|_OAK-UMN-091,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-091,Quercus_deserticola,FALSE
Quercus_obtusata_|_CAVENDER-BARES_|_JCB-MX-JA-MS-204_|_Mexico_|_Jalisco_|_OAK-UMN-136,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-136,Quercus_obtusata,FALSE
Quercus_potosina_|_CAVENDER-BARES_|_JCB-MX-OA-TE-12_|_Mexico_|_Oaxaca_|_OAK-UMN-263,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-263,Quercus_potosina,FALSE
Quercus_glaucoides_|_CAVENDER-BARES_|_JCB-MX-OA-PA-14_|_Mexico_|_Oaxaca_|_OAK-UMN-265,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-265,Quercus_glaucoides,FALSE
Quercus_peduncularis_|_CAVENDER-BARES_|_JCB-MX-JA-MA-139_|_Mexico_|_Jalisco_|_OAK-UMN-070,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-070,Quercus_peduncularis,FALSE
Quercus_diversifolia_|_HIPP_|_CA-DAV-MH29_|_USA_|_California_|_OAK-MOR-400,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-400,Quercus_diversifolia,FALSE
Quercus_new_species_|_CAVENDER-BARES_|_JCB-MX-OA-OA-34_|_Mexico_|_Oaxaca_|_JCB-MX-OA-OA-34,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,JCB-MX-OA-OA-34,Quercus_new_species,FALSE
Quercus_purulhana_|_CAVENDER-BARES_|_JCB-BZ-MPR-PU-6_|_Belize_|_NA_|_OAK-UMN-343,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-343,Quercus_purulhana,FALSE
Quercus_liebmanii_|_CAVENDER-BARES_|_JCB-MX-OA-TE-7_|_Mexico_|_Oaxaca_|_OAK-UMN-258,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-258,Quercus_liebmanii,FALSE
Quercus_subspathulata_|_HIPP_|_2017129_|_Mexico_|_FALSE_|_OAK-MOR-001181,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-001181,Quercus_subspathulata,FALSE
Quercus_nudinervis_|_HIPP_|_2017124_|_Mexico_|_FALSE_|_OAK-MOR-001176,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-001176,Quercus_nudinervis,FALSE
Quercus_resinosa_|_CAVENDER-BARES_|_JCB-MX-JA-TM-110_|_Mexico_|_Jalisco_|_OAK-UMN-041,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-041,Quercus_resinosa,FALSE
Quercus_magnoliifolia_|_CAVENDER-BARES_|_JCB-MX-JA-MA-153_|_Mexico_|_Jalisco_|_JCB-MX-JA-MA-153,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,JCB-MX-JA-MA-153,Quercus_magnoliifolia,FALSE
Quercus_arizonica_|_HIPP_|_2015034_|_Mexico_|_Durango_|_OAK-MOR-923,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-923,Quercus_arizonica,FALSE
Quercus_striatula_|_HIPP_|_2017163_|_Mexico_|_FALSE_|_OAK-MOR-001214,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-001214,Quercus_striatula,FALSE
Quercus_chihuahuensis_|_HIPP_|_2015076_|_Mexico_|_Jalisco_|_OAK-MOR-931,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-931,Quercus_chihuahuensis,FALSE
Quercus_grisea_|_CAVENDER-BARES_|_AZ-CH-10_|_USA_|_Arizona_|_OAK-MOR-362,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-362,Quercus_grisea,FALSE
Quercus_toumeyi_|_CAVENDER-BARES_|_AZ-CH-7_|_USA_|_Arizona_|_OAK-MOR-365,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-365,Quercus_toumeyi,FALSE
Quercus_turbinella_|_CAVENDER-BARES_|_JCB-US-AZ-CH-TU_|_USA_|_Arizona_|_OAK-UMN-040,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-UMN-040,Quercus_turbinella,FALSE
Quercus_ajoensis_|_CAVENDER-BARES_|_JCB-US-AZ-AM-AJ-2_|_USA_|_Arizona_|_OAK-UMN-038,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-UMN-038,Quercus_ajoensis,FALSE
Quercus_laeta_|_CAVENDER-BARES_|_JCB-MX-JA-AM-157_|_Mexico_|_Jalisco_|_OAK-UMN-088,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-088,Quercus_laeta,FALSE
Quercus_engelmannii_|_HIPP_|_CA-DAV-MH37_|_USA_|_California_|_OAK-MOR-394,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-394,Quercus_engelmannii,FALSE
Quercus_oblongifolia_|_HIPP_|_2017154_|_Mexico_|_FALSE_|_OAK-MOR-001205,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-001205,Quercus_oblongifolia,FALSE
Quercus_gambelii_|_NA_|_NA_|_NA_|_NA_|_splicedPerMcVay2017,subg. Quercus,Quercus,Dumosae,,TRUE,NA,Quercus_gambelii,FALSE
Quercus_depressipes_|_NA_|_NA_|_NA_|_NA_|_splicedPerUnpublData,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,NA,Quercus_depressipes,FALSE
Quercus_sinuata_var._breviloba_|_NA_|_NA_|_NA_|_NA_|_splicedPerUnpublData,subg. Quercus,Quercus,Stellatae,,TRUE,NA,Quercus_sinuata_var._breviloba,FALSE
Quercus_marilandica_var._ashei_|_NA_|_NA_|_NA_|_NA_|_splicedPerUnpublData,subg. Quercus,Lobatae,Phellos,,TRUE,NA,Quercus_marilandica_var._ashei,FALSE
Quercus_garryana_var._breweri_|_NA_|_NA_|_NA_|_NA_|_splicedPerUnpublData,subg. Quercus,Quercus,Dumosae,,TRUE,NA,Quercus_garryana_var._breweri,FALSE
